id,address,region,state,city,neighborhood,sub_neighborhood,locality,latitude,longitude,data,police_action,agent_presence,police_unit,main_reason,complementary_reason,clippings,massacre,id_victim,type,situation,circumstances,deathDate,personType,age,ageGroup,genre,race,place,serviceStatus,qualifications,politicalPosition,politicalStatus,partie,coorporation,agentPosition,agentStatus,unit
54428,"R. Regina- Comunidade do Burity - Macaxeira, Recife - PE, 52090-280, Brasil",Nordeste,Pernambuco,RECIFE,MACAXEIRA,,COMUNIDADE DO ALTO DO BURITY,-8.013989,-34.9281663,"13/01/2023, 02:00:00",false,false,,Homicidio/Tentativa,,,false,a051bc1c-02b1-420c-a260-cbca7a982674,People,dead,Sem identificação,"13/01/2023, 02:00:00",Civilian,23,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54435,"Rua Vinte e Um de Julho - Alto José do Pinho, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,ALTO JOSE DO PINHO,,,-8.0230782,-34.9079298,"14/01/2023, 06:00:00",false,false,,Homicidio/Tentativa,,,false,802e3abc-1120-4768-9ce9-166f0d624a4c,People,dead,Sem identificação,"14/01/2023, 06:00:00",Civilian,17,adolescente,homem cis,Negra,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54441,"R. Figueira de Melo - Areias, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,AREIAS,,,-8.0857663,-34.9321396,"14/01/2023, 14:00:00",false,false,,Homicidio/Tentativa,,,false,c43cc2d0-fa26-41b6-a728-73f82ccf480c,People,dead,Sem identificação,"14/01/2023, 14:00:00",Civilian,31,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54442,"Rua Roraima - Várzea, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,VARZEA,UR 07,,-8.0370394,-34.9801219,"14/01/2023, 14:00:00",false,false,,Homicidio/Tentativa,,,false,c71db460-f625-4d1d-a1b9-54dfe9f7afbe,People,dead,Sem identificação,"14/01/2023, 14:00:00",Civilian,34,adulto,homem cis,Negra,sem identificação,não se aplica,PPTE,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54443,"Rua Cabo Hermito de Sá - Brejo da Guabiraba, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,BREJO DA GUABIRABA,,,-7.9934192,-34.9308802,"14/01/2023, 15:00:00",false,false,,Homicidio/Tentativa,,,false,be1eb556-1664-43ce-902a-52f50510232b,People,dead,Sem identificação,"14/01/2023, 15:00:00",Civilian,24,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54461,"Av. Nova do Fundão - Cajueiro, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,CAJUEIRO,ALTO CAJUEIRO,,-8.0145182,-34.8867904,"14/01/2023, 21:00:00",false,false,,Homicidio/Tentativa,,,false,c812e3f6-b110-4952-9acd-ef55f5d9f84e,People,dead,Sem identificação,"14/01/2023, 21:00:00",Civilian,28,adulto,homem cis,Não identificado,barbearia,não se aplica,PPTE,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54462,"R. Cuité - Brejo da Guabiraba, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,BREJO DA GUABIRABA,,,-7.9938196,-34.9317956,"14/01/2023, 21:00:00",false,false,,Homicidio/Tentativa,,,false,56ddcdb9-bd54-4eb4-9282-fc905f80a11a,People,dead,Sem identificação,"14/01/2023, 21:00:00",Civilian,24,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54470,"Av. Dois Rios, 1600 - Ibura, Recife - PE, 51290-410, Brasil",Nordeste,Pernambuco,RECIFE,IBURA,,,-8.11991150715977,-34.944167630994784,"15/01/2023, 11:00:00",false,false,,Homicidio/Tentativa,,,false,01d6fa6c-5c75-4c70-8afc-2c26b33e0871,People,dead,Bala perdida,"15/01/2023, 11:00:00",Civilian,41,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54470,"Av. Dois Rios, 1600 - Ibura, Recife - PE, 51290-410, Brasil",Nordeste,Pernambuco,RECIFE,IBURA,,,-8.11991150715977,-34.944167630994784,"15/01/2023, 11:00:00",false,false,,Homicidio/Tentativa,,,false,bdaff89c-ea82-4d3c-a9cf-fd46b946039b,People,wounded,Sem identificação,,Civilian,22,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54471,"Rua Alto do Reservatório - Nova Descoberta, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,NOVA DESCOBERTA,,,-7.9976859,-34.9336551,"15/01/2023, 17:00:00",false,false,,Homicidio/Tentativa,,,false,f7a11332-2c83-4ca8-afd9-aacb38f61462,People,dead,Sem identificação,"15/01/2023, 17:00:00",Civilian,,adulto,homem cis,Negra,residência,não se aplica,PPTE,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54487,"Rua Doutor José Marcionilo de Barros Lins - Iputinga, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,IPUTINGA,,,-8.0294593,-34.931231,"15/01/2023, 21:00:00",false,false,,Homicidio/Tentativa,,,false,824e101d-42c1-464e-bed5-88dcb4efb109,People,dead,Sem identificação,"15/01/2023, 21:00:00",Civilian,26,adulto,homem cis,Não identificado,sem identificação,não se aplica,PPTE,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54488,"R. Cruzeiro, 799 - Brejo da Guabiraba, Recife - PE, 52291-107, Brasil",Nordeste,Pernambuco,RECIFE,BREJO DA GUABIRABA,,,-7.994556478206242,-34.93094022366486,"15/01/2023, 21:00:00",false,false,,Homicidio/Tentativa,,,false,b83e9e81-abff-4675-8f9c-23df4b1297e1,People,dead,Sem identificação,"15/01/2023, 21:00:00",Civilian,28,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54490,"R. Ônix - Jardim São Paulo, Recife - PE, 50910-545, Brasil",Nordeste,Pernambuco,RECIFE,JARDIM SAO PAULO,,,-8.0858649,-34.9434622,"16/01/2023, 18:00:00",false,false,,Homicidio/Tentativa,,,false,16dc1a26-aa29-47ba-9f02-c86826e52cad,People,dead,Sem identificação,"16/01/2023, 18:00:00",Civilian,23,adulto,homem cis,Negra,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
54509,"Rua Ranusia Alves Rodrigues - Macaxeira, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,MACAXEIRA,,,-8.0091314,-34.9304297,"16/01/2023, 21:00:00",false,true,,Tentativa/Roubo,,,false,88888c5b-aa83-4b9b-8f48-513c80d9f51f,People,wounded,Sem identificação,,Agent,,adulto,homem cis,Não identificado,sem identificação,não se aplica,Agente de segurança,não se aplica,não se aplica,,polícia militar,soldado,não identificado,
